party_reset = .text:0x00000000; // type:function size:0x4C
mario_reset = .text:0x0000004C; // type:function size:0x48
party_kirimomi = .text:0x00000094; // type:function size:0xA4
mario_kirimomi = .text:0x00000138; // type:function size:0xA0 scope:local
z = .text:0x000001D8; // type:function size:0x78 scope:local
mario_kirimomi = .text:0x00000250; // type:function size:0x10C scope:local
mario_kirimomi = .text:0x0000035C; // type:function size:0x150 scope:local
_unresolved = .text:0x000004AC; // type:function size:0x4 scope:global
_epilog = .text:0x000004B0; // type:function size:0x4C scope:global
_prolog = .text:0x000004FC; // type:function size:0x108 scope:global
_space_rotate = .text:0x00000604; // type:function size:0xCC scope:local
krb_get_dir = .text:0x000006D0; // type:function size:0x118 scope:local
battleGetBarriernSatelliteInitPos = .text:0x000007E8; // type:function size:0x150 scope:local
battleGetBarriernSatelliteInitPos = .text:0x00000938; // type:function size:0x150 scope:local
_check_satellite = .text:0x00000A88; // type:function size:0x308 scope:local
barriern_wawawa_get_next_target = .text:0x00000D90; // type:function size:0x74 scope:local
barriern_wawawa_get_target = .text:0x00000E04; // type:function size:0x44 scope:local
barriern_wawawa_set_target = .text:0x00000E48; // type:function size:0x15C scope:local
outSplineTableSet_Sub = .text:0x00000FA4; // type:function size:0x4C scope:local
outSplineTableSet = .text:0x00000FF0; // type:function size:0x22C scope:local
barriernSatelliteToOutside = .text:0x0000121C; // type:function size:0x8F4 scope:local
barriernSatelliteToInside = .text:0x00001B10; // type:function size:0x810 scope:local
barriernSatelliteTo_Main = .text:0x00002320; // type:function size:0x1B4 scope:local
barriernSatelliteTo_Init = .text:0x000024D4; // type:function size:0xA8 scope:local
barriern_satellite_zanzou_sub = .text:0x0000257C; // type:function size:0x3A4 scope:local
barriern_satellite_zanzou2 = .text:0x00002920; // type:function size:0xD8 scope:local
barriern_satellite_zanzou = .text:0x000029F8; // type:function size:0xD8 scope:local
barriern_zanzou_sub = .text:0x00002AD0; // type:function size:0x370 scope:local
barriern_zanzou3 = .text:0x00002E40; // type:function size:0xA0 scope:local
barriern_zanzou2 = .text:0x00002EE0; // type:function size:0xA0 scope:local
barriern_zanzou = .text:0x00002F80; // type:function size:0xA0 scope:local
_ctors = .ctors:0x00000000; // type:label scope:global data:4byte
_dtors = .dtors:0x00000000; // type:label scope:global data:4byte
str_00000000 = .rodata:0x00000000; // type:object size:0x8 scope:local data:string
str_00000008 = .rodata:0x00000008; // type:object size:0x8 scope:local data:string
str_00000010 = .rodata:0x00000010; // type:object size:0x8 scope:local data:string
str_00000018 = .rodata:0x00000018; // type:object size:0x8 scope:local data:string
str_00000020 = .rodata:0x00000020; // type:object size:0x8 scope:local data:string
str_00000028 = .rodata:0x00000028; // type:object size:0x8 scope:local data:string
str_00000030 = .rodata:0x00000030; // type:object size:0x4 scope:local data:string
str_00000034 = .rodata:0x00000034; // type:object size:0x8 scope:local data:string
str_0000003C = .rodata:0x0000003C; // type:object size:0x8 scope:local data:string
str_00000044 = .rodata:0x00000044; // type:object size:0x8 scope:local data:string
str_0000004C = .rodata:0x0000004C; // type:object size:0x8 scope:local data:string
str_00000054 = .rodata:0x00000054; // type:object size:0x8 scope:local data:string
str_0000005C = .rodata:0x0000005C; // type:object size:0x8 scope:local data:string
str_00000064 = .rodata:0x00000064; // type:object size:0x4 scope:local data:string
str_00000068 = .rodata:0x00000068; // type:object size:0x8 scope:local data:string
str_00000070 = .rodata:0x00000070; // type:object size:0x8 scope:local data:string
str_00000078 = .rodata:0x00000078; // type:object size:0x8 scope:local data:string
str_00000080 = .rodata:0x00000080; // type:object size:0x8 scope:local data:string
str_00000088 = .rodata:0x00000088; // type:object size:0x8 scope:local data:string
str_00000090 = .rodata:0x00000090; // type:object size:0xC scope:local data:string
str_0000009C = .rodata:0x0000009C; // type:object size:0x1C scope:local data:string
str_000000B8 = .rodata:0x000000B8; // type:object size:0x20 scope:local data:string
str_000000D8 = .rodata:0x000000D8; // type:object size:0x8 scope:local data:string
str_000000E0 = .rodata:0x000000E0; // type:object size:0x14 scope:local data:string
str_000000F4 = .rodata:0x000000F4; // type:object size:0x1C scope:local data:string
str_00000110 = .rodata:0x00000110; // type:object size:0x8 scope:local data:string
str_00000118 = .rodata:0x00000118; // type:object size:0xC scope:local data:string
str_00000124 = .rodata:0x00000124; // type:object size:0x8 scope:local data:string
str_0000012C = .rodata:0x0000012C; // type:object size:0xC scope:local data:string
str_00000138 = .rodata:0x00000138; // type:object size:0x18 scope:local data:string
str_00000150 = .rodata:0x00000150; // type:object size:0x8 scope:local data:string
str_00000158 = .rodata:0x00000158; // type:object size:0x14 scope:local data:string
str_0000016C = .rodata:0x0000016C; // type:object size:0xC scope:local data:string
str_00000178 = .rodata:0x00000178; // type:object size:0x4 scope:local data:string
str_0000017C = .rodata:0x0000017C; // type:object size:0x10 scope:local data:string
str_0000018C = .rodata:0x0000018C; // type:object size:0x4 scope:local data:string
str_00000190 = .rodata:0x00000190; // type:object size:0xC scope:local data:string
str_0000019C = .rodata:0x0000019C; // type:object size:0xC scope:local data:string
str_000001A8 = .rodata:0x000001A8; // type:object size:0xC scope:local data:string
str_000001B4 = .rodata:0x000001B4; // type:object size:0xC scope:local data:string
str_000001C0 = .rodata:0x000001C0; // type:object size:0x10 scope:local data:string
str_000001D0 = .rodata:0x000001D0; // type:object size:0x10 scope:local data:string
str_000001E0 = .rodata:0x000001E0; // type:object size:0x8 scope:local data:string
str_000001E8 = .rodata:0x000001E8; // type:object size:0x8 scope:local data:string
str_000001F0 = .rodata:0x000001F0; // type:object size:0x8 scope:local data:string
str_000001F8 = .rodata:0x000001F8; // type:object size:0xC scope:local data:string
str_00000204 = .rodata:0x00000204; // type:object size:0x8 scope:local data:string
float_1_moo_000032fc = .rodata:0x0000020C; // type:object size:0x4 align:4 data:float
zero_moo_00003300 = .rodata:0x00000210; // type:object size:0x4 align:4 data:float
float_0p5_moo_00003304 = .rodata:0x00000214; // type:object size:0x4 align:4 data:float
double_360_moo_00003308 = .rodata:0x00000218; // type:object size:0x8 align:8 data:double
str_00000220 = .rodata:0x00000220; // type:object size:0x8 scope:local data:string
str_00000228 = .rodata:0x00000228; // type:object size:0x8 scope:local data:string
str_00000230 = .rodata:0x00000230; // type:object size:0x8 scope:local data:string
str_00000238 = .rodata:0x00000238; // type:object size:0x8 scope:local data:string
str_00000240 = .rodata:0x00000240; // type:object size:0x14 scope:local data:string
str_00000254 = .rodata:0x00000254; // type:object size:0xC scope:local data:string
str_00000260 = .rodata:0x00000260; // type:object size:0x4 scope:local data:string
str_00000264 = .rodata:0x00000264; // type:object size:0x10 scope:local data:string
str_00000274 = .rodata:0x00000274; // type:object size:0x4 scope:local data:string
str_00000278 = .rodata:0x00000278; // type:object size:0xC scope:local data:string
str_00000284 = .rodata:0x00000284; // type:object size:0xC scope:local data:string
str_00000290 = .rodata:0x00000290; // type:object size:0xC scope:local data:string
str_0000029C = .rodata:0x0000029C; // type:object size:0xC scope:local data:string
str_000002A8 = .rodata:0x000002A8; // type:object size:0x10 scope:local data:string
str_000002B8 = .rodata:0x000002B8; // type:object size:0x10 scope:local data:string
str_000002C8 = .rodata:0x000002C8; // type:object size:0x8 scope:local data:string
str_000002D0 = .rodata:0x000002D0; // type:object size:0x8 scope:local data:string
str_000002D8 = .rodata:0x000002D8; // type:object size:0x8 scope:local data:string
str_000002E0 = .rodata:0x000002E0; // type:object size:0x8 scope:local data:string
str_000002E8 = .rodata:0x000002E8; // type:object size:0x8 scope:local data:string
str_000002F0 = .rodata:0x000002F0; // type:object size:0x8 scope:local data:string
